Crime Books and Storage,,,,,,,
,,,,,,,
,Author (Surname),Author (First Name),Title,Detective,Series,Year,Box
,Dunn,Carola,Valley of the Shadow,Eleanor Trewynn,3,,
,Durbridge,Francis,The Tyler Mystery,Paul Temple,,,Q
,Eco,Umberto,Foucault's Pendulum,,,,T
,Eco,Umberto,The Name of the Rose,,,,K
,Edwards,Martin,The Arsenic Labyrinth,Hannah Scarlett,,,
,Edwards,Martin,The Cipher Garden,Hannah Scarlett,,,
,Edwards,Martin,The Coffin Trail,Hannah Scarlett,,,
,Edwards,Martin,The Frozen Shroud,Hannah Scarlett,,,
,Edwards,Martin,The Serpent Pool,Hannah Scarlett,,,
,Ellis,Alice Thomas,The Fly in the Ointment,,,,I
,Ellis,Kate,An Unhallowed Grave,Wesley Peterson,,1999,
,Ellis,Kate,The Armada Boy,Wesley Peterson,,1999,
,Ellis,Kate,The Flesh Tailor,Wesley Peterson,,2010,
,Ellis,Kate,The Jackal Man,Wesley Peterson,,2011,
,Ellis,Kate,The Cadaver Game,Wesley Peterson,,2012,
,Ellis,Kate,The Shadow Collector,Wesley Peterson,,2013,
,Ellis,Kate,The Shroud Maker,Wesley Peterson,,2014,
,Ellis,Kate,The Death Season,Wesley Peterson,,,
,Eriksson,Kjell,"Black Lies, Red Blood",Ann Lindell,,,
,Eriksson,Kjell,The Demon of Dakar,Ann Lindell,,,
,Eriksson,Kjell,The Hand that Trembles,Ann Lindell,,,
,Eriksson,Kjell,The Princess of Burundi,Ann Lindell,,,
,Farjeon,J Jefferson,Mystery in White,,,1937,
,Farjeon,J Jefferson,The Z Murders,,,,*
,Farjeon,J Jefferson,The Thirteen Guests,,,,*
,Fench,Tana,Broken Harbour,,,,
,Fforde,Jasper,The Fourth Bear,Jack Spratt,,,U
,Fforde,Jasper,The Eyre Affair,Thursday Next,1,2001,
,Fforde,Jasper,Lost In A Good Book,Thursday Next,2,2002,
,Fforde,Jasper,The Well of Lost Plots,Thursday Next,3,2003,
,Fforde,Jasper,Something Rotten,Thursday Next,4,2004,
,Fforde,Jasper,First Amongst Sequels,Thursday Next,5,2007,
,Fforde,Jasper,One of Our Thursdays is Missing,Thursday Next,6,2011,
,Fowler,Debby,Intensive Care,Felicity Paradise,,,A
,Fowler,Debby,Letting Go,Felicity Paradise,,,
,Fowler,Debby,Smoke Damage,Felicity Paradise,,,A
,Fowler,Debby,The Silver Sea,Felicity Paradise,,,A
,Fox,Kathryn,Cold Grave,,,,
,Francis ,Dick,Blood Sport,,,,K
,Francis ,Dick,Dead Cert,,,,K
,Francis ,Dick,Flying Finish,,,,K
,Francis ,Dick,In the Frame,,,,K
,Francis ,Dick,Knock Down,,,,K
,Francis ,Dick,Nerve,,,,K
,Francis ,Dick,Rat Race,,,,K
,Francis ,Dick,Trial Run,,,,K
,Francis ,Dick,Whip Hand,,,,K
,Franklin,Ariana,Mistress of Artful Death,Adelia Aguilar,,,C
,Franklin,Ariana,Relics of the Dead,,,,K
,Franklin,Ariana,The Death Maze,,,,U
,Fraser,Antonia,Quiet as a Nun,Jemima Shore,,1977,
,Fraser,Antonia,Tartan Tragedy,Jemima Shore,,1978,
,Frazer,Margaret,A Play of Isaac,Joliffe,1,2004,C
,Frazer,Margaret,A Play of Dux Moraud,Joliffe,2,2005,C
,Frazer,Margaret,A Play of Knaves,Joliffe,3,2006,C
,Frazer,Margaret,A Play of Lords,Joliffe,4,2207,C
,Frazer,Margaret,Play of Treachery,Joliffe,5,2009,O
,Frazer,Margaret,The Novice's Tale,Sister Frevisse,1,1992,O
,Frazer,Margaret,The Servant's Tale,Sister Frevisse,2,1993,O
,Frazer,Margaret,The Outlaw's Tale,Sister Frevisse,3,1994,O
,Frazer,Margaret,The Bishop's Tale,Sister Frevisse,4,,*
,Frazer,Margaret,The Boy's Tale,Sister Frevisse,5,1995,O
,Frazer,Margaret,The Murderer's Tales,Sister Frevisse,6,,*
,Frazer,Margaret,The Prioress' Tale,Sister Frevisse,7,1997,O
,Frazer,Margaret,The Maiden's Tale,Sister Frevisse,8,1998,P
,Frazer,Margaret,The Reeve's Tale,Sister Frevisse,9,1999,O
,Frazer,Margaret,The Squire's Tale,Sister Frevisse,10,2000,O
,Frazer,Margaret,The Clerk's Tale,Sister Frevisse,11,2002,O
,Frazer,Margaret,The Bastard's Tale,Sister Frevisse,12,2003,O
,Frazer,Margaret,The Hunter's Tale,Sister Frevisse,13,2004,O
,Frazer,Margaret,The Widow's Tale,Sister Frevisse,14,2005,O
,Frazer,Margaret,The Sempstress' Tale,Sister Frevisse,15,2006,O
,Frazer,Margaret,The Traitor's Tale,Sister Frevisse,16,2007,O
,Frazer,Margaret,The Apostate's Tale,Sister Frevisse,17,2008,O
,Frazer,Margaret,The Widow's Tale (x2),Sister Frevisse,,,O
,Freeman,Austin R.,Dr Thorndyke's Casebook,Thorndyke,,,M
,Freeman,Austin R.,Mr Potternack's Oversight,Thorndyke,,,K
,Freeman,R. Austin,The Eye of Osiris,Thorndyke,,,F
,French,Nicci,Blue Monday,Freida Klein,1,,
,French,Nicci,Tuesday's Gone,Frieda Klein,2,,
,French,Nicci,Waiting for Wednesday,Frieda Klein,3,,
,French,Tana,Faithful Place,,,2010,
,French,Tana,In The Woods,,,,
,Fyfield,Frances,Half Light,,,,R
,Fyfield,Frances,Undercurrents,,,,R
,Gardner,Lisa,The Other Daughter*1,,,,F
,Gardner,Lisa,The Perfect Husband*1,,,,F
,Gatiss,Mark,The Devil in Amber,Lucifer Box,,,B
,Gatiss,Mark,The Vesuvius Club,Lucifer Box,,,Q
,Gazan,Sissel-Jo,The Dinosaur Feather,,,,J
,George,Elizabeth,A Place of Hiding,Lynley,,,D
,George,Elizabeth,A Suitable Vengeance,Lynley,,,L
,George,Elizabeth,A Traitor to Memory,Lynley,,,D
,George,Elizabeth,Believing The Lie,Lynley,,,
,George,Elizabeth,Careless in Red,Lynley,,,S
,George,Elizabeth,Deception on His Mind,Lynley,,,G
,George,Elizabeth,In Pursuit of the Proper Sinner,Lynley,,,G
,George,Elizabeth,In the Presence of the Enemy,Lynley,,,G
,George,Elizabeth,Just One Evil Act,Lynley,,,
,George,Elizabeth,Plating for the Ashes,Lynley,,,L
,George,Elizabeth,This Body of Death,Lynley,,,P
,George,Elizabeth,With No One As Witness,Lynley,,,R
,Gifford,Thomas,The Assassini,,,,S
,Gill,Anthony,City of Dreams,,,,H
,Giuttari,Michele,The Black Rose of Florence,Michele Ferrara,,2010,
,Giuttari,Michele,The Dark Heart of Florence,Michele Ferrara,,2012,
,Giuttari,Michele,A Death in Tuscany,Michele Ferrara,,,
